,Unnamed: 0,review_id,user_id,city,rest_id,photos,date,rating,text
652178,652178,3T_jbBLnCq3qlfbrK8mtKw,GN3wBXDaLLmY6Oitfy3T8g,edinburgh,2nQ2_o5pPUMByU86bDjOeg,[],3/3/2013,4.0,"So Good is a sterling example of a Chinese takeaway, the satay skewers or ribs are great starters and the mains from Kung Po to Szechaun are enjoyable, good quality and a decent portion.  What boosts So Good above the regular good Chinese though is the Thai specialities, I have worked my way through most of these and enjoyed them all. Thai food still isn't that common in Edinburgh, so being able to pop into a local takeaway on the way home is ideal.  All in all then, So Good offers good Chinese and a small selection of Thai dishes making it an ideal takeaway."
652179,652179,AuGse1DKKQMlz6qcDe_23w,Yt_QxDBaJ04yjoZ0i_oKrA,edinburgh,2nQ2_o5pPUMByU86bDjOeg,[],3/18/2015,2.0,"It was edible. I didn't enjoy my meal. I've had much better Chinese takeaways. It was more expensive than the usual takeaway I go to. The Szechuan king prawn was terrible. They had added weird flavours that made it floral and unpleasant. The egg fried rice was over done. The veggie spring rolls were soggy and flat with a weird taste in the middle. The chips were good. The prawn crackers were dry.   The bottom line is, I will not return to so good Chinese."
652180,652180,kyzOBMCJpAAiCdqHO8WkMA,txzOZrHK9EVY0kYjSuXkKg,edinburgh,2nQ2_o5pPUMByU86bDjOeg,[],2/7/2013,5.0,Chanced upon this place last night and am very pleased to have done so. My Thai spicy & sweet chilli chicken with boiled rice was fantastically tasty with very well proportioned pieces of chicken. Clearly cooked & not just nuked I'd happily get food from here again.
652181,652181,CshVMlMcbs3LBuDcsI1u_g,yfXqZkU5iXE07GSHzdsQBA,edinburgh,2nQ2_o5pPUMByU86bDjOeg,['GTDkHQjsMdax3KQp-oyw-Q'],7/22/2010,4.0,"My flatmates and I ordered from So Good a few months ago and although the food did take a while to arrive, it was delicious when it did.  We had a menu thrust under our door during Fresher's Week and it sat in our hall until we felt hungry and lazy enough to use it.   The menu has the usual range of Chinese classic dishes and I went for the crispy chilli shredded beef along with fried rice and a bag of prawn crackers.  They said they would be 20 minutes, but in reality it was more like 50, and they charged a fiver at the door for it.   Nonetheless, the food was tasty and filling.  The beef was good quality and the spicy sauce which accompanied it was delicious.   I'd certainly recommend ordering from So Good, just be prepared for a bit of a wait."
652185,652185,pxzZs4YCtP016H-R-oSvGA,hqZiOnwZ3J1s7piCBUN6Ow,edinburgh,2nQ2_o5pPUMByU86bDjOeg,[],4/21/2010,4.0,"It is not easy to find a good Chinese takeaway in the city, although their number grows like mushrooms n a rainy season. I have always been amazed at the way owners of such small businesses choose the names of their takeaways. Another good thing about takeaways is they are almost 24/7 open, So Good is open 7 days per week, starting from 4 am until 11pm. The place prepares spicy, mild spicy and non-spicy meals. It has a good range of curries, Thai specials and a couple of good offers for vegetarians. The prices are reasonable and the quality is good."
652186,652186,HU-JcZyJ9vuOkTynt4XSVg,hutJzKEYHuVq6CP-XSARgg,edinburgh,jpHVV9egbixc56MwP8rzbA,['3w_782IwuwtLvBUkE4cxlA'],7/27/2010,2.0,"I did not have a good experience at the Ricebox. I came here after a Hibs game with a friend and got a meal to take away. The price was about standard, but the quality of the food was lacking. The shop was full with supporters looking for a post-match bite to eat, so I would like to give it another chance on a non-match day when the workers have more time on the hands. I ordered the sweet and sour pork with rice and found that the flavours were really bland and the meal was generally very greasy On the positive you do get a cool fortune cookie with every meal! Furthermore, the decor of the restaurant is very good and looks modern."
652187,652187,5Ja75Chtp5gI585wYrrelg,8qdZi8L_TSqAnmP9w9dW-w,edinburgh,jpHVV9egbixc56MwP8rzbA,[],6/16/2019,1.0,Ordered a side of orange chicken. It was basically a fried chicken tenderloin that was chopped up and soaked in a weird orange flavored goo.  No thank you.
652188,652188,3ytLZKDk773jjWYZcdfnBw,8TmB7dJ4gSXi_XWwM_Z29w,edinburgh,jpHVV9egbixc56MwP8rzbA,[],9/29/2016,1.0,"Had a meal recently on a Monday. Chips were pre cooked from Sunday night my rice was hard and crispy, my wife's lemon chicken was soggy. Went in the bucket after a few mouthfuls never again.  We put a pizza in oven. At least it got rid of the taste from the crap Chinese meal. Waste of 16.80. AVOID AVOID!"
652189,652189,UcxJ-fHs-ROxBu2Y6RQtXg,ZkmKyB9660N9d30GIrBGTQ,edinburgh,jpHVV9egbixc56MwP8rzbA,[],6/30/2014,1.0,"The worst take away I've had in years...  I ordered chicken noodle soup that literally had no chicken in it, (seriously, not one tiny bit) no spring onion or any other garnish. It was literally a bowl of weak stock and noodles. I also ordered ribs that had no meat on them and what meat there was was dry and hard.   When I called to complain (it has to be really bad for me to do this) the attitude was defensive and unapologetic.   Just avoid; If a place tries hard and its just not good enough then fair enough but the corners cut by these guys and their general disregard for customer satisfaction makes it feel like you've been robbed."
652190,652190,YkqxG_raYwJe_qTnPuNTTA,qsNd3x3Aatc61xEOViXFsQ,edinburgh,jpHVV9egbixc56MwP8rzbA,[],7/16/2013,1.0,"Used to be good. I find if you order a meal around 5pm it ( to me ) feels re heated from the night before. Last one was hard greasy chips ,the fried rice was greasy too. As they say Once bitten  Sorry its a toilet!"
